"","rownames(int_B_sect_strand_share)","AT","BE","CZ","DE","EL","FR","IT","SE","SK","UK"
"M69-71","M69-71",NA,0.000479796855630506,NA,NA,NA,0.000267924846878784,1.54319163549263e-05,NA,NA,NA
"M71-72","M71-72",NA,NA,NA,NA,NA,NA,NA,8.11380039333384e-05,NA,NA
"M71","M71",0.000500616019702667,NA,0.00425626190711329,NA,0.00261262739821417,NA,NA,NA,0.00426998011463814,0.00291562827338173
"M72","M72",0.000554776791741182,0.000660210970484044,0.000876100127025095,NA,0.00192531069192931,0.000294031448030958,2.77045685359585e-05,NA,0.00628315808806007,0.00195107167827029
"M73","M73",0.000493131123137375,NA,0.00288576282698041,NA,0.00276238174566653,NA,NA,4.02517786866095e-05,0.0054237724451158,0.0015904949956242
"M73-75","M73-75",NA,0.000577569048815115,NA,NA,NA,0.000413133570755793,1.54435654916694e-05,NA,NA,NA
"M74_75","M74_75",0.000920532259662859,NA,0.00482563362686901,NA,0.00151965527109455,NA,NA,5.99623500664331e-05,0.0067671494761994,0.00144612437043229
"N","N",NA,6.85733253137062e-06,NA,0.00266660424380582,NA,0.000195581562081802,0.00164237196260416,NA,NA,NA
"N77","N77",0.000309077313864474,NA,4.14539568076482e-05,NA,0.0182150520691468,NA,NA,3.10632325917718e-05,0.0104747333771058,0.00672766370283222
"N78","N78",0.000105594518832899,NA,5.39409660693723e-05,NA,0.000718855028086722,NA,NA,2.85950121680888e-05,0.00269021622626677,0.00536381144858214
"N79","N79",0.00134109008952306,NA,0.000110835097012696,NA,0.0155437206175104,NA,NA,5.26772425347497e-05,0.00848164267381759,0.0040900347013388
"N80-82","N80-82",0.00072075948612096,NA,4.27042218777588e-05,NA,0.00723380888609285,NA,NA,2.3829562643581e-05,0.00639083271969596,0.0045074588030024
"O","O",1.60371709743674e-08,0.000561199718275824,0.0123163010948794,0.000225532186462563,0.00407447219973764,0.00657233671307437,0.00716668866540212,0.000110755742738035,0.00988994513567397,0.000836146002027553
"P","P",3.02209272977422e-05,6.5512645891111e-05,0.00992140933428965,6.72255874198995e-05,0.00183387448829181,0.00463296558529002,0.00105400940215342,7.40804102968851e-05,0.0264709495846328,0.00170367931608035
"Q","Q",NA,NA,NA,8.51649192780454e-05,NA,NA,NA,NA,NA,NA
"Q86","Q86",2.30191017095597e-05,0.000174058623756166,0.0114280623743177,NA,0.00751272334497603,0.000525280651856415,0.00596785759180638,0.000567506453291172,0.0173035486374714,0.00366253907569596
"Q87_88","Q87_88",3.80344607073855e-05,0.000154486169487978,0.0132383334690422,NA,0.0166375114396852,0.00046946689214325,0.00720455009522066,0.000447907450231158,0.0247575180760659,0.00527076914693883
"R","R",NA,0.00252901846916112,NA,0.00312277178049002,NA,0.00124046725088504,0.00188761807356872,NA,NA,NA
"R90-92","R90-92",0.00254999999966399,NA,0.00357463712003855,NA,0.0021546566127524,NA,NA,0.000156527639844319,0.00115075818739786,0.00191081198406709
"R93","R93",0.00484073970774472,NA,0.0081432030963537,NA,0.0104213160104608,NA,NA,0.000214793409961325,0.00677850113695494,0.00278283743870854
"S","S",NA,0.000757852715717639,NA,0.0020803311585714,NA,0.000649836765115037,0.000291833179489275,NA,NA,NA
"S94","S94",0.000783677047007886,NA,0.00608893498861827,NA,0.0136289069572972,NA,NA,5.89364890916812e-06,0.0133442058347195,2.03501130880506e-09
"S95","S95",0.000197680746889101,NA,0.00249199183298729,NA,0.00396846013614136,NA,NA,5.90058770288067e-06,0.0036839189785261,3.94798211715088e-09
"S96","S96",0.000524797587694645,NA,0.00920043359251691,NA,0.00158194853024678,NA,NA,5.41623408934702e-06,0.00736020322755833,1.75895573505622e-09
