"","rownames(int_B_sect_stranding)","AT","BE","CZ","DE","EL","FR","IT","SE","SK","UK"
"P","P",0.686679910059297,1.80539749546724,397.570714843655,16.656887148553,19.2373433821811,542.103303134785,33.9369947305359,1.02586552179126,179.12891583921,213.896938133888
"Q","Q",NA,NA,NA,31.5847729529716,NA,NA,NA,NA,NA,NA
"Q86","Q86",0.648356018751459,3.9434721798197,112.874972071136,NA,35.8206649088457,34.6243994477674,425.376953428775,11.8262669801347,55.8558550017577,313.766060075797
"Q87_88","Q87_88",0.295147415089311,1.31004271725806,86.1021208826505,NA,12.1453833509702,21.161220163357,83.2125535997987,2.6350395297099,10.9675805076972,187.823858551165
"R","R",NA,8.90467402991629,NA,455.453141412689,NA,97.1335476133023,60.7303362809264,NA,NA,NA
"R90-92","R90-92",8.14979999892612,NA,20.3539837614995,NA,7.85587801009527,NA,NA,0.2217996656594,1.86768053814673,73.9789967751416
"R93","R93",36.8186662171064,NA,26.383978032186,NA,14.2146750382685,NA,NA,1.38434352720074,5.46347191638568,64.8568093465412
"S","S",NA,4.05905914538367,NA,114.19561828746,NA,6.61793761593154,6.23122204845501,NA,NA,NA
"S94","S94",4.78748308017117,NA,16.1539445248043,NA,61.3028234939227,NA,NA,0.0304937394560359,7.6462299432943,1.2965057048397e-05
"S95","S95",0.0152214175104608,NA,0.433606578939789,NA,1.24609648274839,NA,NA,0.00152825221504609,0.15104067811957,2.74384757141986e-06
"S96","S96",2.48124299462028,NA,7.24074123731081,NA,3.7840208843503,NA,NA,0.00497751912810991,0.736020322755833,1.17093683282693e-05
"Tot stranding","Tot stranding",5689.07084053512,3181.18587856008,17536.790810152,40752.1703464031,8773.52531921804,35514.3881190887,58588.5356711293,3969.84710210277,18749.4554204304,84678.0654881093
"Stranding over GDP","Stranding over GDP",0.0193091386871548,0.00871317243645311,0.111900297414158,0.0158185909380422,0.0388154125045039,0.017770688409495,0.0365148055320368,0.0107561487226318,0.278993146545301,0.0466131048615746
"Stranding over K","Stranding over K",0.00810897569409362,0.00593145178494398,0.0374881963470152,0.0102740466309484,0.0272720429936154,0.0144854046761514,0.0212396660845023,0.0075299447316861,0.0823941826718042,0.0363453875705675
